Host_label	Total_count	Written_count
Acidovorax	115	115
Sellimonas	113	113
Streptococcaceae	112	112
CAG-245	112	112
Coprobacter	111	111
Methylobacter	111	111
Weissella	110	110
Dickeya	107	107
Oribacterium	107	107
Anaeroglobus	106	106
Macrococcus	106	106
Tannerellaceae	106	106
Cupriavidus	106	106
Epibacterium	106	106
Nanosynbacter	106	106
Solobacterium	105	105
CAG-1427	103	103
Shewanella	102	102
Erysipelotrichales	102	102
CAG-279	101	101
Lachnospirales	100	100
Selenomonadaceae	98	98
Salinispora	98	98
Adlercreutzia	97	97
Parvimonas	97	97
Anaerovoracaceae	96	96
CAG-145	96	96
Lysinibacillus	95	95
CAG-180	95	95
Actinobacteriota	94	94
Brevibacillus	92	92
Rhodobacteraceae	92	92
Pediococcus	91	91
SFEL01	91	91
Eubacterium_R	91	91
CAG-56	90	90
Lactobacillus_C	90	90
TM7	87	87
Christensenellales	87	87
Enterococcus_B	87	87
Eikenella	86	86
Rhodobacter	86	86
Coprobacillus	84	84
Leclercia	84	84
Janthinobacterium	84	84
Paracoccus	83	83
Kosakonia	83	83
Ochrobactrum	83	83
Alcanivorax	82	82
Alteromonadaceae	82	82
Azospirillum	81	81
Xenorhabdus	81	81
Lactobacillus_H	81	81
CAG-354	81	81
Eggerthellaceae	80	80
Provencibacterium	80	80
Moraxellaceae	80	80
Hafnia	79	79
Glaesserella	79	79
Burkholderiales	78	78
Chryseobacterium	78	78
Psychrobacter	78	78
Clostridiaceae	77	77
Finegoldia	77	77
Gilliamella	77	77
Phil1	77	77
Dysosmobacter	76	76
Olsenella	75	75
Desulfovibrionaceae	75	75
Methylomonadaceae	75	75
Butyribacter	75	75
Lactobacillales	75	75
Acetobacter	74	74
Chromobacterium	73	73
Clostridium_A	73	73
NA;GCA	72	72
CAG-272	72	72
Aliivibrio	72	72
Photorhabdus	71	71
Peptostreptococcus	71	71
Orientia	71	71
Micromonospora	71	71
Levilactobacillus	71	71
Chlamydia	69	69
Photobacterium	69	69
Ventricola	69	69
Paeniclostridium	68	68
Edwardsiella	67	67
CAG-239	67	67
Bariatricus	67	67
51-20	67	67
Schaalia	66	66
Anaerococcus	66	66
Pandoraea	66	66
Methanobrevibacter_A	66	66
Haemophilus_D	66	66
Veillonellaceae	65	65
Cloacibacillus	65	65
Enterococcaceae	64	64
Marinobacter	64	64
Limivicinus	64	64
CAG-196	64	64
UBA4372	63	63
Centipeda	62	62
CAG-313	62	62
Streptomycetaceae	62	62
CAG-492	62	62
Negativicutes	61	61
Megasphaeraceae	61	61
Bulleidia	61	61
CAG-194	61	61
Brucella	60	60
Paraclostridium	59	59
CAG-274	59	59
Rhizobiaceae	59	59
UBA10281	59	59
CAG-488	59	59
Butyrivibrio_A	59	59
Desulforhopalus	58	58
CAG-485	58	58
UBA1417	58	58
CAG-873	57	57
Peptidiphaga	57	57
Limiplasma	57	57
Slackia_A	57	57
Pseudopropionibacterium	56	56
NA;Lachnospira	56	56
CAG-452	56	56
Peptoniphilus	55	55
Pseudoflavonifractor	55	55
Priestia	55	55
Brevundimonas	55	55
NA;Agathobacter	54	54
Herbaspirillum	54	54
Subdoligranulum	53	53
Sphingomonadaceae	53	53
Gastranaerophilaceae	53	53
Fusobacterium_A	53	53
Cardiobacterium	52	52
Anaerovibrio	52	52
CAG-448	52	52
Veillonellales	52	52
Raoultella	51	51
Geobacillus	51	51
Pluralibacter	51	51
Histophilus	51	51
Alteromonas	51	51
Arachnia	51	51
GCA-900066995	50	50
Atopobiaceae	49	49
Fournierella	49	49
Neisseriaceae	49	49
Phytobacter	49	49
Evtepia	49	49
Microcystis	48	48
Porphyromonadaceae	47	47
Sutterellaceae	47	47
Peptostreptococcaceae	47	47
Roseibium	46	46
Lancefieldella	46	46
CAG-45	46	46
Stomatobaculum	45	45
Ensifer	45	45
UMGS1375	45	45
CAG-882	45	45
Lelliottia	45	45
Holdemania	44	44
Carnobacterium	44	44
UBA10785	44	44
CAG-568	44	44
Faecalimonas	43	43
Faecalitalea	43	43
Treponema_D	43	43
Butyrivibrio	42	42
Prevotellaceae	42	42
UBA932	42	42
COE1	42	42
Beijerinckiaceae	42	42
CAG-628	42	42
Enterobacterales	41	41
Kingella	41	41
Ruegeria	41	41
Actinobacillus	41	41
Pseudomonadales	41	41
Snodgrassella	40	40
Neorhizobium	40	40
CAG-475	40	40
Senegalimassilia	39	39
Dysgonomonas	39	39
Pseudoxanthomonas	39	39
Nocardia	39	39
Lentilactobacillus	39	39
NA;Blautia	38	38
Methylophaga	38	38
Halomonadaceae	38	38
CAG-95	38	38
Companilactobacillus	38	38
JABCPE02	38	38
CAG-267	38	38
TANB77	38	38
Actinobaculum	37	37
Muribaculum	37	37
Dialisteraceae	37	37
Monoglobus	37	37
UBA7173	37	37
Chromobacteriaceae	37	37
Coprococcus_A	37	37
Akkermansiaceae	36	36
CAG-552	36	36
Opitutaceae	36	36
CAG-791	36	36
Enterococcus_A	36	36
Bacteroidia	35	35
UBA9502	35	35
Rhodocyclaceae	35	35
UBA11471	35	35
CAG-314	35	35
Leptotrichiaceae	35	35
Sphingopyxis	35	35
CAG-495	35	35
Coriobacteriia	34	34
Caballeronia	34	34
Caulobacter	34	34
Dakarella	34	34
Gallibacterium	34	34
Actinomycetia	34	34
Nitrosospira	34	34
Saccharimonas	34	34
Limisoma	34	34
Desulfobacterota	34	34
Fimenecus	34	34
Atlantibacter	34	34
Latilactobacillus	34	34
Xanthobacteraceae	33	33
Rhodanobacteraceae	33	33
UBA1394	33	33
RF16	33	33
Curtobacterium	33	33
Oenococcus	32	32
UBA10788;Lachnospira	32	32
Chelatococcus	32	32
Salinicola	32	32
CAG-605	32	32
rat	32	32
Aerococcus	31	31
Erysipelothrix	31	31
Dichelobacter	31	31
Arsenophonus	31	31
Collimonas	31	31
Abiotrophia	31	31
Bosea	31	31
Rhodanobacter	30	30
Alphaproteobacteria	30	30
Dielma	30	30
UBA1829	30	30
Terrisporobacter	30	30
Anaerotruncus	29	29
Buttiauxella	29	29
CAG-433	29	29
F0422	29	29
Pedobacter	28	28
Virgibacillus	28	28
Flavobacteriaceae	28	28
Rodentibacter	28	28
Oliverpabstia	28	28
Caproicibacterium	28	28
Mesosutterella	27	27
Sporosarcina	27	27
NA;Fusicatenibacter	27	27
UBA10785;Bacteroides	27	27
Nonomuraea	27	27
Copromonas	27	27
UMGS902	27	27
Leucobacter	27	27
Riemerella	26	26
Halanaerobium	26	26
Sphaerochaetaceae	26	26
Micrococcaceae	26	26
Allorhizobium	26	26
Aureimonas	26	26
Mammaliicoccus	26	26
Parasphingorhabdus	26	26
Enterococcus_D	26	26
CAG-460	26	26
Klebsiella_A	26	26
Azotobacter	25	25
Victivallis	25	25
CAG-727	25	25
Duganella	25	25
Phaeobacter	25	25
Pararhizobium	25	25
Oleiphilaceae	25	25
Fimisoma	25	25
UBA11452	25	25
Merdicola	25	25
Chitinophaga	24	24
Acetobacteraceae	24	24
Thermus	24	24
Avibacterium	24	24
